Año,Concepto,Presupuesto,Liquidación
2016,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1098550.54,1110334.62
2016,Arrendamientos y cánones,14200.00,10164.00
2016,"Reparaciones, mantenimientos y conservación",172700.00,176529.89
2016,"Material, suministros y otros",3240344.85,2943522.65
2016,Indemnizaciones por razón de servicio,44100.00,43092.99
2016,Gastos de edición y distribución,3000.00,5515.88
2016,Trasbajos realizados por AAPP. Y EEPP,0.00,0.00
2016,Trabajos realizados por instituciones sin fines de lucro,106700.00,110514.00
2016,De préstamos y otras operaciones financieras,59363.00,27659.76
2016,Intereses de demora y otros gastos financieros,10000.00,142.19
2016,A la Administración del Estado,0.00,0.00
2016,A entidades locales,676687.00,395233.14
2016,A empresas privadas,30250.00,29150.00
2016,A familias e instituciones sin ánimo de lucro,347359.00,245002.89
2016,Al exterior,0.00,0.00
2016,Fondo de contingencia,0.00,0.00
2016,Inversión nueva en bienes e infraestructuras de interés general,0.00,17750.72
2016,Inversiones en reposición de infra. destinados al uso general,10000.00,555517.83
2016,Inversión nueva asociada al funcio. operativo de los servicios,29050.00,223887.37
2016,Inversión de reposición asoc al funcio operativo de los servicios,9645.00,67469.94
2016,Gastos e inversiones de carácter inmaterial,0.00,0.00
2016,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2016,A la Administración del Estado,0.00,23304.57
2016,A la Administración general de la CCAA,0.00,0.00
2016,Vehículos,0.00,0.00
2016,Concesión de préstamos fuera del sector primario,16000.00,18752.90
2016,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2016,Amortización de ope. Y prestamos en curso,243198.00,243985.94
2015,Órganos de gobierno personal directivo,94556.56,85470.17
2015,Personal funcionario,1194744.83,1044852.77
2015,Personal laboral,2376281.08,2542220.54
2015,Incentivos al rendimiento,127626.37,34011.25
2015,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1159271.05,1135989.01
2015,Arrendamientos y cánones,14200.00,16164.00
2015,"Reparaciones, mantenimientos y conservación",205000.00,220427.62
2015,"Material, suministros y otros",2603955.00,2834082.82
2015,Indemnizaciones por razón de servicio,42400.00,45874.54
2015,Gastos de edición y distribución,0.00,0.00
2015,Trasbajos realizados por AAPP. Y EEPP,0.00,0.00
2015,Trabajos realizados por instituciones sin fines de lucro,107000.00,116608.00
2015,De préstamos y otras operaciones financieras,65587.00,34966.58
2015,Intereses de demora y otros gastos financieros,10000.00,146.11
2015,A la Administración del Estado,0.00,0.00
2015,A entidades locales,636741.00,641319.16
2015,A empresas privadas,44000.00,31900.00
2015,A familias e instituciones sin ánimo de lucro,301270.00,240871.14
2015,Al exterior,3000.00,0.00
2015,Fondo de contingencia,0.00,0.00
2015,Inversión nueva en bienes e infraestructuras de interés general,0.00,63160.47
2015,Inversiones en reposición de infra. destinados al uso general,0.00,540502.27
2015,Inversión nueva asociada al funcio. operativo de los servicios,6574.00,92202.55
2015,Inversión de reposición asoc al funcio operativo de los servicios,10000.00,256711.19
2015,Gastos e inversiones de carácter inmaterial,0.00,0.00
2015,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2015,A la Administración del Estado,0.00,24447.00
2015,A la Administración general de la CCAA,,0.00
2015,Vehículos,0.00,0.00
2015,Concesión de préstamos fuera del sector primario,16000.00,11762.50
2015,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2015,Amortización de ope. Y prestamos en curso,303292.00,405310.87
2014,Órganos de gobierno personal directivo,94556.56,94556.56
